timestamp,value,metric_name,instance,job,namespace,persistentvolumeclaim,pod,uid,volume
2025-07-05 07:28:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:29:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:30:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:31:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:32:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:33:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:34:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:35:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:36:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:37:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:38:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:39:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:40:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:41:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:42:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:43:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:18:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:19:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:20:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:21:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:22:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:23:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:24:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:25:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:26:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:27:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:28:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:29:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:30:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:31:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:32:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:33:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:34:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:35:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:36:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:37:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:38:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:39:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:40:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:41:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:42:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
2025-07-05 07:43:06,0,kube_pod_spec_volumes_persistentvolumeclaims_readonly,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,minio-pvc,minio-744678b59d-t7j6m,bd589561-b1ac-4fa6-a412-f802d4c99a57,storage
