timestamp,value,metric_name,instance,job,namespace,pod,qos_class,uid
2025-07-05 07:18:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:19:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:20:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:21:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:22:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:23:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:24:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:25:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:26:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:27:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:28:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:29:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:30:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:31:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:32:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:33:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:34:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:35:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
2025-07-05 07:36:06,0,kube_pod_status_qos_class,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system,coredns-674b8bbfcf-2chtp,BestEffort,71061800-d364-46e6-b2e7-8e17e2b13364
