timestamp,value,metric_name,daemonset,instance,job,namespace
2025-07-05 07:18:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:19:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:20:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:21:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:22:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:23:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:24:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:25:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:26:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:27:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:28:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:29:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:30:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:31:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:32:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:33:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:34:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:35:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:36:06,3,kube_daemonset_status_number_available,beyla,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
