timestamp,value,metric_name,device,instance,job
2025-07-12 05:30:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:31:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:32:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:33:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:34:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:35:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:36:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:37:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:38:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:39:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:40:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:41:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:42:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:43:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:44:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:45:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:46:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:47:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:48:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:49:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-12 05:50:28,1000,node_network_transmit_queue_length,erspan0,172.18.0.2:9100,prometheus.scrape.annotated_pods
