timestamp,value,metric_name,instance,job,method,proto
2025-07-07 10:10:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:11:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:12:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:13:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:14:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:15:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:16:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:17:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:18:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:19:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:20:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:21:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:22:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:23:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:24:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:25:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:26:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:27:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:28:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:29:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:30:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:31:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:32:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:33:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:34:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:35:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
2025-07-07 10:36:11,0,node_nfsd_requests_total,172.18.0.2:9100,prometheus.scrape.annotated_pods,Access,3
