timestamp,value,metric_name,certificatesigningrequest,instance,job,signer_name
2025-07-07 10:36:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:37:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:38:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:39:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:40:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:41:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:42:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:43:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:44:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:45:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:46:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:47:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:48:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:49:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:50:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:51:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:52:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:53:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:54:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:55:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:56:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:57:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:58:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:59:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:00:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:01:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:02:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:03:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:04:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:05:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:06:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:07:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:08:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 11:09:11,904,kube_certificatesigningrequest_cert_length,csr-dfsnd,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:10:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:11:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:12:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:13:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:14:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:15:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:16:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:17:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:18:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:19:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:20:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:21:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:22:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:23:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:24:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:25:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:26:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:27:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:28:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:29:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:30:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-07 10:31:11,895,kube_certificatesigningrequest_cert_length,csr-g6mrk,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
