timestamp,value,metric_name,claim_namespace,instance,job,name,persistentvolume
2025-07-13 17:25:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:26:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:27:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:28:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:29:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:30:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:31:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:32:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:33:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:34:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:35:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:36:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:37:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:38:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:39:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:40:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:41:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:42:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:43:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:44:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
2025-07-13 17:45:48,1,kube_persistentvolume_claim_ref,nimbusguard,10.244.2.8:8080,prometheus.scrape.annotated_pods,minio-pvc,pvc-cfc8f425-70b4-4750-a251-ebe2c9a49dfc
